OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.947333,36.0685651,-79.2988147
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.082333,,
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629000,,
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199000,,
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.307333,40.9406237,-98.3592980
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499000,,
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.202333,,
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.532333,,
1348,GLOBAL,SR-73,Palmyra,NJ,150,3.359000,,
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,580,3.590667,,
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,465,3.982333,41.6745495,-86.6160192
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,249,3.622333,40.7495710,-81.4033980
1376,FUEL MART #782,"I-75, EXIT 118",Lima,OH,411,3.085667,40.7233827,-84.0752029
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,305,3.739000,41.0100770,-81.8622222
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,550,3.415667,41.5844951,-84.6055076
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,500,3.215667,36.5336807,-97.3436380
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton,OK,483,3.099000,35.5006168,-98.9669204
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,375,3.262333,40.1370345,-87.3970886
